Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,QID270,QID271,QID273,QID274,QID276,QID277,QID279,QID280,QID282,QID283,QID285,QID286,QID288,QID289,QID291,QID292,QID294,QID295,QID297,QID298,QID300,QID301,QID303,QID304,QID306,QID307,QID309,QID310,QID312,QID313,QID315,QID316,QID318,QID319,QID321,QID322,QID324,QID325,QID327,QID328,QID330,QID331,QID333,QID334,QID336,QID337,QID339,QID340,QID342,QID343,QID345,QID346,QID348,QID349,QID351,QID352,QID354,QID355,QID357,QID358,QID360,QID361,QID363,QID364,QID366,QID367,QID369,QID370,QID372,QID373,QID375,QID376,QID378,QID379,QID381,QID382,QID384,QID385,QID387,QID388,QID390,QID391,QID393,QID394,QID396,QID397,QID399,QID400,QID402,QID403,QID405,QID406,QID408,QID409,QID411,QID412,QID414,QID415,QID417,QID418,QID420,QID421,QID423,QID424,QID426,QID427,QID429,QID430,QID432,QID433,QID435,QID436,QID438,QID439,QID441,QID442,QID444,QID445,QID447,QID448,QID450,QID451,QID453,QID454,QID456,QID457,QID459,QID460,QID462,QID463,QID465,QID466,QID468,QID469,QID471,QID472,QID474,QID475,QID477,QID478,QID480,QID481,QID483,QID484,QID486,QID487,QID489,QID490,QID492,QID493,QID495,QID496,QID498,QID499,QID501,QID502,QID504,QID505,QID507,QID508,QID510,QID511,QID513,QID514,QID516,QID517,QID519,QID520,QID522,QID523,QID525,QID526,QID528,QID529,QID531,QID532,QID534,QID535,QID537,QID538,QID540,QID541,QID543,QID544,QID546,QID547,random
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smooth,1.5,clean,2,,,comfortable,3,empty,2,,,safe,2,,,,,,,,,,,lazy,2,excited,3,,,,,,,strong,2,dark,3,,,,,healthy,1,,,,,,,,,quiet,1,healthy,2,young,2,,,fat,2,faithful,1,,,,,dark,1,,,,,,,,,,,,,,,violent,2,,,,,,,,,,,,,funny,2,dangerous,2,,,dangerous,4,,,48507
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,2,,,,,,,,,,,,,,,,,,,,,christian,3,,,,,weird,2,cold,4,,,divine,3,faithful,3,,,angry,1,nasty,1,,,,,,,,,,,,,,,busy,4,quiet,3,,,,,wicked,4,,,strong,2,wicked,2,funny,2,,,,,nasty,3,,,christian,3,,,,,,,busy,3.5,,,violent,4,,,,,,,,,,,,,fat,2,,,,,expensive,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57050
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,5,weird,4,clean,3,clever,3,,,,,,,,,,,,,,,,,,,,,,,,,,,divine,3,,,,,,,,,healthy,5,,,,,difficult,3,,,,,,,gorgeous,4,confused,4,,,,,,,,,nasty,4,,,,,holy,5,creepy,4,,,,,,,dead,4,,,lonely,2,,,stunning,5,,,,,successful,4,nasty,4,beautiful,5,,,,,,,,,nasty,2,,,dead,5,25453
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proud,3,,,,,stunning,4,violent,4,excited,3,clean,3,,,comfortable,3,,,,,safe,3,,,,,,,strong,4,faithful,4,,,,,adorable,4,,,,,,,,,,,,,,,bright,4,,,,,,,,,,,,,strong,4,,,funny,3,funny,3,loud,4,dark,4,healthy,4,,,,,,,,,,,young,5,,,,,,,,,beautiful,4,,,,,,,,,,,expensive,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42159
191,,,,,,,,,,,,,,,,,,,,,empty,5,adorable,1,,,,,,,,,,,,,lazy,5,,,,,,,evil,1,,,,,,,,,healthy,5,,,,,quiet,5,dark,5,,,wicked,5,,,strong,5,,,faithful,1,holy,1,loud,5,dark,3,,,,,,,clever,1,,,,,proud,5,,,,,,,,,beautiful,5,,,dangerous,5,fat,5,,,adorable,1,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71644
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,2,safe,3,,,,,,,insane,2,smooth,3,,,,,,,,,broken,3,,,,,safe,4,,,,,divine,1,,,,,,,outdoor,2,,,,,,,,,,,,,adorable,2,,,,,loud,3,deadly,2,lazy,3,,,nasty,1,,,,,holy,4,,,,,smooth,1,,,extreme,1,clever,2,,,,,,,,,,,insane,2,,,,,clear,2,,,,,insane,2.5,,,,,,,18156
454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,5,difficult,2,,,,,,,,,,,,,broken,1,extreme,3,,,weird,1,,,,,,,insane,1,,,,,deadly,2,,,,,,,,,,,,,weird,3,,,,,dark,4,deadly,1,lazy,3,,,strong,1,,,,,holy,3,loud,1,dark,5,healthy,3,,,insane,4,clever,1,,,busy,2,,,,,,,,,,,,,,,,,,,,,adorable,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38834
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleepy,4,empty,4,difficult,4,,,,,clean,3,,,,,talented,4,,,extreme,4,,,,,,,strong,5,,,insane,4,,,,,,,,,,,,,,,confused,4,lonely,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deadly,4,,,,,,,strong,4,stunning,4,violent,4,,,,,nasty,3,dead,4,,,dangerous,4,fat,4,,,,,extreme,4,jealous,4,38283
294,,,weird,1,,,empty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark,2,difficult,3,dead,3,lonely,1,,,,,,,dark,1,clever,2,healthy,2,,,,,,,funny,2,funny,1,,,,,healthy,1,,,,,difficult,2,,,,,,,,,healthy,1,successful,1,busy,3,beautiful,1,warm,1,,,funny,1,,,,,,,dead,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75894
502,,,,,,,empty,4,,,,,,,,,dangerous,4,,,,,,,,,,,extreme,4,clever,4,,,faithful,4,,,excited,3,,,,,healthy,4,,,,,,,,,,,,,busy,4,,,,,quiet,3,,,stunning,4,,,,,,,funny,4,loud,4,dark,4,healthy,5,,,,,,,lonely,3,,,,,,,clear,4,shy,3,,,,,warm,4,,,,,,,adorable,3,,,successful,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99411
