Default Report,,,
Last Modified: 2018-02-21 06:55:08 MST,,,
,,,
,,,
QID9 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,beautiful,65.79%,25
2,adorable,2.63%,1
3,bitter,2.63%,1
4,holy,0.00%,0
5,friendly,15.79%,6
6,illegal,10.53%,4
7,weak,0.00%,0
8,shy,2.63%,1
,Total,100%,38
,,,
QID47 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,divine,5.41%,2
2,peaceful,48.65%,18
3,clear,5.41%,2
4,heavy,8.11%,3
5,young,18.92%,7
6,dumb,0.00%,0
7,creepy,2.70%,1
8,empty,10.81%,4
,Total,100%,37
,,,
QID49 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,shy,7.50%,3
2,empty,2.50%,1
3,quiet,25.00%,10
4,busy,12.50%,5
5,inspirational,7.50%,3
6,clever,7.50%,3
7,dumb,22.50%,9
8,dead,15.00%,6
,Total,100%,40
,,,
QID51 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,dead,0.00%,0
2,dirty,28.13%,9
3,beautiful,0.00%,0
4,successful,0.00%,0
5,strong,65.63%,21
6,inspirational,3.13%,1
7,sleepy,0.00%,0
8,proud,3.13%,1
,Total,100%,32
,,,
QID53 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,young,2.22%,1
2,lonely,8.89%,4
3,insane,4.44%,2
4,outdoor,44.44%,20
5,sexy,20.00%,9
6,little,2.22%,1
7,fancy,8.89%,4
8,ancient,8.89%,4
,Total,100%,45
,,,
QID55 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,shy,2.27%,1
2,clean,11.36%,5
3,weak,0.00%,0
4,clever,0.00%,0
5,stunning,29.55%,13
6,difficult,0.00%,0
7,beautiful,56.82%,25
8,adorable,0.00%,0
,Total,100%,44
,,,
QID57 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,strong,0.00%,0
2,wild,10.53%,4
3,successful,44.74%,17
4,lazy,5.26%,2
5,empty,21.05%,8
6,dumb,2.63%,1
7,difficult,10.53%,4
8,fat,5.26%,2
,Total,100%,38
,,,
QID59 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,tough,0.00%,0
2,bad,10.42%,5
3,insane,6.25%,3
4,quiet,18.75%,9
5,dumb,6.25%,3
