Duration (in seconds),QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,QID270,QID271,QID273,QID274,QID276,QID277,QID279,QID280,QID282,QID283,QID285,QID286,QID288,QID289,QID291,QID292,QID294,QID295,QID297,QID298,QID300,QID301,QID303,QID304,QID306,QID307,QID309,QID310,QID312,QID313,QID315,QID316,QID318,QID319,QID321,QID322,QID324,QID325,QID327,QID328,QID330,QID331,QID333,QID334,QID336,QID337,QID339,QID340,QID342,QID343,QID345,QID346,QID348,QID349,QID351,QID352,QID354,QID355,QID357,QID358,QID360,QID361,QID363,QID364,QID366,QID367,QID369,QID370,QID372,QID373,QID375,QID376,QID378,QID379,QID381,QID382,QID384,QID385,QID387,QID388,QID390,QID391,QID393,QID394,QID396,QID397,QID399,QID400,QID402,QID403,QID405,QID406,QID408,QID409,QID411,QID412,QID414,QID415,QID417,QID418,QID420,QID421,QID423,QID424,mTurkCode
423,"lady,birthday",3,,,,,,,,,,,,,,,,,,,,,,,"girl,beauty",4,,,,,,,,,,,,,,,,,,,,,"beauty,performance",4,,,,,,,,,,,"area,lady",3,,,"lady,hair",4,,,"morning,country",3,,,,,,,,,,,"morning,girl",4,,,,,,,,,,,,,,,"phone,country",3.5,,,,,,,,,,,,,,,,,,,,,,,,,"hair,country",4,,,"history,girl",3,,,,,,,,,,,"phone,dog",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"morning,artist",4,,,,,,,,,,,,,,,,,"business,beauty",4,"business,beauty",3,,,"morning,girl",4,,,,,,,,,,,,,,,"dog,country",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"legs,city",3,"artist,city",4,,,"birthday,death",4,"ocean,death",4,,,,,,,,,,,
296,"lady,history",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,god",3,,,,,"performance,beauty",1,,,,,"birthday,lady",2,,,,,,,,,,,,,,,"country,god",1,,,"food,beauty",2.5,,,,,,,,,"lady,girl",4,,,,,,,,,,,,,,,,,"hair,beer",2,,,,,,,,,,,,,,,"morning,dog",3,,,,,"hair,country",3,,,,,,,,,,,"apple,dog",1,,,,,,,,,"birthday,area",1,,,,,"dog,lady",4,"food,beauty",3.5,,,,,,,,,,,,,,,,,,,,,"artist,country",3,,,,,,,,,,,,,,,,,,,,,"morning,dog",2,,,,,,,,,,,,,,,,,,,,,"chocolate,dog",2,,,"wedding,hair",4,,,,,,,,,,,,,,,,,,,"dog,artist",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"god,artist",1,
346,"lady,birthday",2,,,,,,,,,"business,feelings",3.5,,,"lady,hair",3,,,,,,,,,,,,,,,"performance,god",2,,,"god,performance",2,,,,,,,,,,,,,"beauty,performance",4,,,,,,,,,,,,,,,,,,,,,,,,,"morning,artist",2,"money,girl",2,,,,,"lady,girl",5,,,"dog,lady",4,,,,,,,,,,,"hair,area",3,"dog,lady",4,,,,,,,,,,,"god,heart",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beauty,security",2,,,,,,,,,,,,,,,,,,,"relationship,girl",3,"morning,god",2,,,,,"wings,girl",2,,,,,,,,,"chocolate,business",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,wings",1,,,,,"area,wedding",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,"lady,birthday",4,,,,,,,,,,,,,,,,,,,,,,,"girl,beauty",4,,,,,,,,,"god,performance",4,,,,,,,,,,,,,,,,,,,,,,,,,"apple,holiday",5,,,,,,,,,,,,,,,"morning,girl",4,,,"lady,girl",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"weight,girl",4,"night,dog",2,,,"birthday,area",4,"phone,dog",5,,,,,,,,,"beauty,security",5,"dog,lady",4,,,,,,,,,"girl,morning",4,,,,,,,,,,,"morning,god",3,,,,,,,,,,,,,"business,beauty",4,,,,,,,"dog,morning",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,birthday",4,"phone,artist",4,,,,,,,,,,,,,,,,,,,,,,,,,"artist,city",4,,,,,,,"wedding,hair",4,,,,,,,,,,,,,,,
418,"lady,birthday",1,,,,,,,,,,,,,,,,,,,,,"feelings,birthday",3,"girl,beauty",2,,,,,,,,,,,,,,,,,"birthday,performance",1,,,,,,,,,,,,,,,"hair,lady",2,,,,,,,,,,,,,,,"money,artist",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"money,child",2,,,,,,,"wedding,girl",1,,,,,,,,,,,,,,,,,,,"phone,feelings",1,,,"morning,artist",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chocolate,beauty",2,,,,,,,,,,,,,,,,,,,,,"dog,country",1,,,,,,,,,,,,,,,"wedding,hair",1,,,,,,,,,,,,,,,"wedding,weight",4,"morning,birthday",1,,,,,"wedding,apple",1,"area,wedding",2,"hair,money",1,,,"birthday,performance",3,"artist,city",3,,,,,,,,,,,,,,,,,,,
458,"lady,birthday",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beer,god",2,,,"god,performance",2,,,,,,,,,,,"beauty,performance",2,,,,,,,"god,country",3,,,,,,,,,,,,,,,,,"beauty,chocolate",4,,,,,,,,,,,,,,,"god,security",2,,,,,,,,,,,,,,,,,"apple,beauty",3,,,,,,,,,,,,,,,,,,,,,,,,,,,"weight,area",1,,,"dog,feelings",3,,,,,,,,,,,,,,,,,,,,,,,"girl,morning",2.5,,,,,,,"morning,god",1,,,"wings,girl",1,,,,,,,,,,,,,,,,,,,,,"morning,dog",2,,,,,"country,hair",3,,,"dog,country",2,,,,,"hair,country",2.5,,,,,"wedding,hair",4,,,,,,,,,,,,,,,,,,,,,,,"night,god",2,,,,,,,,,,,,,"legs,artist",3,,,,,,,,,,,,,,,,,
432,"lady,birthday",3,,,,,,,,,,,,,,,,,"hair,lady",3,,,"feelings,performance",3,"girl,beauty",3,"beauty,performance",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,apple",3,,,"apple,holiday",1,"lady,hair",3,"lady,hair",3,,,,,"chocolate,beauty",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,girl",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,area",3,,,,,"dog,morning",3,"morning,dog",1,,,,,,,,,"dog,country",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"wings,country",1,,,,,,,"dog,artist",3,,,,,,,,,,,"birthday,performance",4,,,,,,,"birthday,ocean",4,,,,,"money,business",4,,,,,,,
490,"lady,birthday",3,,,,,,,,,,,,,"lady,beer",2,"performance,god",1,,,,,,,,,,,"dog,country",2,,,,,,,,,,,,,"chocolate,performance",1,,,,,,,,,"lady,hair",3,,,,,,,,,,,,,,,,,"food,beauty",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"training,lady",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phone,feelings",2,,,,,"dog,lady",3,,,,,"food,beauty",1,"beauty,heart",4,,,"feelings,relationship",4,,,,,"girl,morning",3,,,,,"night,god",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"night,dog",3,,,,,,,,,,,,,,,,,,,,,,,"dog,food",3,"ocean,god",2,,,,,,,,,,,,,,,,,,,,,"area,wedding",1,,,,,"phone,birthday",2,,,
444,"lady,birthday",4,,,,,,,,,,,,,,,,,,,,,,,,,"beauty,performance",2,,,,,,,,,,,,,,,,,,,,,,,,,,,"god,holiday",2,,,"hair,lady",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,lady",4,,,"heart,artist",3,,,"god,country",3,,,,,,,,,,,,,,,,,,,,,"wedding,girl",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,lady",4,,,,,,,,,,,,,"girl,morning",3,,,,,,,,,"artist,country",3,,,,,,,,,,,,,,,,,,,,,"morning,dog",4,"morning,dog",3,,,,,"country,hair",4,,,,,,,,,"hair,text",4,"money,dog",3,,,,,,,,,,,,,,,,,,,"wings,country",2,,,"morning,birthday",2,,,,,,,,,,,,,"birthday,performance",4,"legs,artist",2,,,,,,,,,,,,,,,,,,,
506,"lady,birthday",4,,,,,,,,,,,,,,,,,,,,,,,,,"beauty,girl",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hair,lady",5,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,lady",5,,,"heart,artist",4,,,"god,country",3,,,,,,,,,,,,,,,,,,,,,"wedding,girl",4,,,,,,,,,,,,,,,"apple,dog",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"relationship,girl",4,,,,,"artist,country",3,,,,,,,,,,,,,,,,,,,,,"morning,dog",3,"morning,dog",3,,,,,"country,hair",5,,,,,,,"wedding,dog",5,"hair,text",5,"money,dog",3,,,,,,,,,,,,,,,,,,,"wings,hair",3,,,"birthday,wings",4,,,,,,,,,,,,,"birthday,performance",5,"legs,artist",5,,,,,,,,,,,,,,,,,,,
