Duration (in seconds),QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID179,QID180,QID176,QID177,QID173,QID174,QID170,QID171,QID167,QID168,QID164,QID165,QID161,QID162,QID158,QID159,QID155,QID156,QID152,QID153,QID149,QID150,QID146,QID147,QID143,QID144,QID140,QID141,QID137,QID138,QID134,QID135,QID131,QID132,QID128,QID129,QID125,QID126,QID122,QID123,QID119,QID120,QID116,QID117,QID113,QID114,QID110,QID111,QID107,QID108,QID104,QID105,QID101,QID102,QID98,QID99,QID95,QID96,QID92,QID93,QID89,QID90,QID86,QID87,QID83,QID84,QID80,QID81,QID77,QID78,QID74,QID75,QID71,QID72,QID68,QID69,QID65,QID66,QID62,QID63,QID59,QID60,QID56,QID57,QID53,QID54,QID50,QID51,QID47,QID48,QID44,QID45,QID41,QID42,QID38,QID39,QID35,QID36,QID32,QID33,QID29,QID30,QID26,QID27,QID23,QID24,QID20,QID21,QID17,QID18,QID14,QID15,QID11,QID12,QID8,QID9,random
309,,,,,,,"legs,artist",2,"legs,artist",3,"birthday,death",2,"birthday,death",2,,,,,,,"wedding,hair",4,,,,,"hair,country",3,,,"wedding,dog",4,,,,,,,"performance,girl",4,,,,,,,,,,,,,"night,god",1,"girl,morning",4,,,"feelings,relationship",2,,,,,,,"dog,lady",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"food,beauty",3,"heart,beer",3,,,,,,,"beauty,performance",2,,,"performance,god",3,,,"dog,country",3,,,,,,,"hair,lady",4,"business,feelings",3,"beauty,lady",1,,,,,
776,,,,,"birthday,performance",4,,,,,,,,,"business,wedding",4,,,"performance,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,"morning,girl",3,,,,,,,,,"girl,morning",4,"birthday,relationship",3,"feelings,birthday",4,"beauty,heart",3,,,,,,,,,"dog,feelings",4,"phone,dog",3,,,,,,,"artist,girl",3,,,"wedding,girl",4,,,,,,,"city,lady",4,,,,,,,,,,,,,,,,,,,"performance,god",4,,,,,"feelings,birthday",3,"wedding,lady",4,,,"hair,lady",4,"business,feelings",3,"beauty,lady",4,,,"lady,birthday",3,
435,"phone,artist",4,,,,,,,,,,,,,,,"god,artist",4,"performance,birthday",3,,,"wedding,hair",5,"money,dog",5,,,,,,,,,,,"performance,girl",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,feelings",5,,,"night,dog",5,,,"artist,girl",5,,,"wedding,girl",5,,,,,"dog,lady",3,"dog,lady",5,,,"lady,girl",5,,,,,,,,,"lady,hair",3,,,,,,,"beer,god",3,,,"feelings,performance",5,"wedding,lady",3,"lady,beer",2,,,,,,,"lady,birthday",5,"lady,birthday",5,
455,,,"gift,artist",2,,,"legs,artist",1,"legs,artist",1,,,,,"money,business",5,,,"performance,birthday",2,,,,,,,"hair,text",1,"wedding,dog",3,,,,,"country,hair",1,,,,,"dog,morning",1,,,"morning,girl",3,,,,,,,,,,,"feelings,relationship",1,,,"beauty,heart",1.5,,,,,,,"phone,artist",1,,,"dog,feelings",1,,,,,"artist,girl",3,,,,,"wedding,girl",2,,,,,,,"dog,lady",4,,,"lady,girl",4,"beauty,chocolate",2,,,,,,,,,"beauty,performance",2,,,,,,,,,,,,,,,,,,,,,,,,,
591,"phone,artist",5,"gift,artist",5,,,,,,,"birthday,ocean",5,,,,,,,,,,,"country,wedding",5,"money,phone",5,"hair,text",5,,,,,,,"country,hair",5,,,"performance,girl",5,,,,,,,,,,,"child,weight",5,"night,god",5,,,,,,,,,"food,beauty",5,,,,,,,,,,,,,"apple,dog",5,"artist,girl",5,,,,,,,,,,,,,"dog,lady",5,"lady,girl",5,"lady,girl",5,,,,,,,,,"lady,hair",5,,,,,,,"beer,god",5,,,"performance,birthday",5,,,,,,,"business,feelings",5,,,,,,,
855,,,,,,,,,,,,,"birthday,ocean",4,"money,business",5,"god,artist",3,"performance,birthday",4,,,,,,,,,,,,,"dog,country",4,,,"performance,girl",4,,,,,"area,hair",4,"morning,girl",4,"beer,wedding",3,"chocolate,business",1,,,,,,,"feelings,relationship",3,,,,,,,"dog,lady",3,,,"phone,artist",3,,,,,,,,,,,,,,,,,,,"training,dog",5,"dog,lady",2,,,,,,,,,,,,,"country,holiday",2,,,,,"lady,hair",5,,,,,,,,,,,"lady,hair",5,,,,,"lady,training",3,,,"lady,birthday",3,
337,,,,,,,,,,,"birthday,death",2,"birthday,death",4,,,"death,artist",3,,,,,,,,,,,,,"wedding,dog",3,,,,,"performance,girl",4,"performance,girl",3,,,,,"morning,girl",3,"beer,wedding",1,,,,,,,,,,,,,,,,,,,"dog,lady",4,,,"dog,feelings",2,,,"birthday,weight",1,,,,,"artist,girl",4,"hair,country",4,,,"wedding,girl",5,,,,,,,,,,,,,,,,,,,,,,,"lady,hair",4,"performance,god",1,,,,,,,"hair,lady",4,,,"hair,lady",4,,,,,"lady,birthday",2,"lady,birthday",3,
693,,,"artist,city",3,"birthday,performance",5,,,,,,,,,"money,business",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"area,hair",2,,,"wedding,area",2,"business,beauty",2,"child,beauty",3,,,,,,,,,,,"food,beauty",4,"dog,lady",4,,,"morning,artist",2,"dog,feelings",3,,,"birthday,area",2,,,"artist,girl",4,,,"hair,country",5,,,"wedding,girl",4,"dog,lady",5,,,,,"lady,girl",5,,,,,,,"hair,lady",5,"god,country",3,,,,,"lady,hair",2,,,,,,,,,,,,,,,,,,,,,,,
952,,,,,,,,,,,,,"birthday,ocean",4,,,"death,artist",3,,,,,"wedding,hair",4,,,,,,,"wedding,dog",4,,,"country,hair",5,"performance,girl",3,,,,,,,,,"wedding,area",3,"chocolate,business",3,,,,,,,"feelings,relationship",4,,,,,,,,,,,,,,,"dog,feelings",3,,,,,,,"artist,girl",3,"hair,country",4,"wedding,girl",4,,,,,,,"dog,lady",4,,,,,,,,,"hair,lady",4,,,,,,,,,"baby,performance",3,,,"dog,country",3,"feelings,performance",3,,,"lady,hair",3,,,,,,,"lady,birthday",4,,,
845,,,,,"birthday,performance",3,,,,,,,,,"money,wedding",4,"god,artist",3,,,,,,,,,,,,,"wedding,dog",2,"dog,country",3,"country,hair",3,,,"performance,girl",4,,,,,"history,girl",3,,,"business,beauty",2,,,,,"girl,morning",3,,,,,,,,,,,,,,,,,,,,,,,"artist,girl",3,"artist,girl",3,,,,,"wedding,girl",4,,,"dog,lady",3,,,,,"lady,girl",4,"food,beauty",3,,,,,,,,,,,"lady,hair",2,,,,,,,,,"hair,lady",3,"lady,beer",3,,,,,,,,,"lady,birthday",3,
319,,,"gift,artist",5,,,,,"artist,city",5,,,,,,,"god,artist",4,,,,,,,"money,dog",5,,,,,,,"dog,country",4,"country,hair",5,,,,,,,"area,hair",2,"morning,girl",3,,,,,,,"morning,night",1,"girl,morning",2,,,,,"food,beauty",4,,,,,,,"morning,artist",3,,,,,,,,,,,,,,,,,"wedding,girl",5,,,,,"city,dog",3,"lady,girl",4,,,,,,,,,"god,country",3,"lady,hair",1,,,,,"performance,god",3,,,,,,,,,,,,,"business,feelings",3,"beauty,lady",4,,,,,
319,,,"gift,artist",3,,,"legs,artist",2,"legs,artist",2,,,"birthday,ocean",2,,,"god,artist",1,,,,,"wedding,hair",2,"money,phone",2,,,"wedding,dog",2,"wedding,dog",2,,,,,,,,,"dog,morning",1.5,,,"morning,girl",2,,,,,"child,beauty",2,,,,,,,"feelings,relationship",1,,,,,,,,,,,,,,,,,"night,dog",2,,,,,,,,,,,,,,,,,,,,,,,,,"hair,lady",3,,,,,"beauty,performance",1,,,"performance,god",1,,,,,,,"hair,lady",2,"lady,beer",1,"chocolate,lady",2,,,,,,,,,
441,,,"gift,artist",4,,,,,,,"birthday,ocean",3,,,,,"god,artist",4,"performance,birthday",5,,,,,,,"hair,text",5,,,,,,,,,,,"performance,girl",3,"dog,morning",4,"area,hair",4,,,"beer,wedding",2,"business,beauty",5,,,,,"girl,morning",3,,,,,,,,,,,"dog,lady",5,,,,,,,,,"night,dog",3,,,,,,,"wedding,girl",5,,,,,,,,,"lady,girl",5,,,"beauty,chocolate",3,,,,,"god,country",4,,,,,,,"performance,god",4,,,,,,,,,"lady,hair",4,,,,,"beauty,lady",4,,,,,
856,"phone,artist",3,,,,,"artist,city",4,,,,,,,"money,business",4,,,,,,,,,,,"hair,country",4,,,"wedding,dog",4,,,,,"performance,girl",4,"performance,girl",4,,,,,,,,,"chocolate,business",2,,,,,,,,,"feelings,relationship",4,,,"food,beauty",4,"dog,lady",5,"dog,lady",4,,,,,,,"birthday,area",1,"night,dog",1,"artist,girl",4,"artist,girl",4,,,"wedding,girl",4,,,,,"dog,lady",4,,,,,,,,,,,"hair,lady",4,,,,,,,"lady,hair",4,,,,,,,,,,,,,,,,,,,,,,,
603,,,"artist,city",5,"birthday,performance",4,,,,,,,,,,,"death,artist",3,,,"country,hair",3.5,,,,,,,"wedding,dog",4,,,"dog,country",3,"country,hair",4.5,"performance,girl",4,,,,,,,,,,,,,"child,beauty",5,,,,,,,,,"beauty,heart",3,,,"dog,lady",4,,,"morning,artist",3,"dog,feelings",4,"dog,feelings",4,"weight,area",4,,,,,,,,,,,"history,girl",5,,,,,,,,,,,,,,,,,,,"lady,hair",4,,,,,,,"performance,god",4,,,"performance,birthday",4,,,,,,,"business,feelings",3,,,,,,,
453,"phone,artist",4,,,,,"artist,city",4,,,,,,,"business,wedding",3,,,,,,,,,,,,,,,"wedding,dog",5,"dog,country",3,"country,hair",5,,,"performance,girl",5,,,,,"morning,girl",4,"beer,wedding",4,,,,,"morning,god",5,,,"feelings,relationship",3,"feelings,relationship",4,,,,,,,,,"morning,artist",3,,,,,,,,,"artist,girl",5,,,,,,,,,"training,dog",4,,,,,,,,,,,"beauty,beer",4,,,,,"lady,hair",5,,,"lady,birthday",3,,,,,,,,,,,"lady,beer",5,,,,,"beauty,lady",4,,,,,
838,"night,artist",4,,,"birthday,performance",3,,,,,,,,,,,,,,,"wedding,hair",2,"country,hair",1,"money,dog",1,,,,,,,,,"country,hair",4,,,,,,,,,"history,girl",2,"beer,area",4,,,,,,,,,"feelings,relationship",2,,,,,,,,,,,,,,,,,"birthday,area",5,,,,,"artist,girl",3,,,,,,,,,"training,dog",3,,,,,,,,,"heart,beauty",5,"area,hair",2,,,,,,,,,"performance,god",3,"beer,god",4,,,"feelings,performance",2,"hair,lady",4,,,"chocolate,lady",3,"business,wedding",3,,,,,,,
