Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,random
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,4,innocent,4,faithful,1,comfortable,2,safe,3,successful,4,safe,3,faithful,2,dark,5,clever,3,healthy,5,bright,2,stunning,4,faithful,1,dark,5,healthy,5,lonely,3,,,clear,"2,5",beautiful,3,funny,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83230
345,cute,3,clean,2,angry,3,strong,3,safe,2,successful,2,extreme,2,faithful,4,fat,3,difficult,3,healthy,4,adorable,3,young,3,,,creepy,1,healthy,3,weird,1,sleepy,3,healthy,4,beautiful,4,fat,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91634
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,4,innocent,4,dangerous,2,clear,1,extreme,1,successful,1,weird,3,,,dark,5,weird,4,healthy,3.5,bright,1,hurt,5,funny,5,dark,5,healthy,1,weird,4,violent,5,extreme,2,dead,1,fat,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53345
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,4,talented,3,faithful,4,strong,4,extreme,3,,,extreme,4,faithful,4,jealous,4,clever,4,healthy,2,adorable,4,young,4,faithful,3,dark,3,smooth,4,insane,4,violent,3,healthy,4,evil,3,funny,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60206
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,2,clean,2,dangerous,2,strong,3,,,successful,3,safe,2,insane,1,dark,3,clever,2,healthy,3,bright,3,young,1,faithful,2,dark,2,healthy,3,lonely,2,sleepy,2,clear,3,beautiful,3,funny,1,59994
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,4,dangerous,3,strong,3,safe,4,lonely,4,safe,3,insane,4,dark,4,clever,4,lonely,4,adorable,3,hurt,2,faithful,4,dark,3,fancy,3,weird,3,violent,4,clear,4,dead,4,sexy,4,52771
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,2,clean,3,dangerous,4,strong,4,extreme,2,bitter,3,safe,3,,,dark,4,clever,2,lonely,3,bright,3,stunning,3,faithful,4,creepy,3,fancy,2,weird,3,sleepy,3,clear,3,beautiful,5,funny,2,76397
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,2,innocent,3,faithful,3,strong,2,evil,4,successful,2,extreme,2,insane,2,fat,2,weird,3,,,adorable,4,young,3,funny,2,dark,2.5,smooth,3,lonely,3,violent,4,clear,2,evil,4,sexy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63968
218,empty,2,talented,2,faithful,2,strong,2,safe,2,lonely,2,safe,2,faithful,2,fat,2,clever,2,healthy,2,bright,2,,,funny,2,nasty,1,fancy,2,weird,2,sleepy,2,clear,2,evil,2,funny,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65642
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,2,clean,5,faithful,3,strong,5,safe,2,successful,3,safe,2,insane,3,dark,1,clever,2,lonely,1,bright,4,young,2,faithful,3,dark,1,healthy,3.5,,,sleepy,1,clear,5,beautiful,5,funny,4,50125
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,3,innocent,2,faithful,3,,,safe,1,successful,2,safe,3,faithful,2,dark,2,clever,2,lonely,2,bright,3,young,2,faithful,2,dark,1,healthy,3,lonely,4,sleepy,1,clear,4,beautiful,5,funny,4,63659
498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,3,clean,4,dangerous,4,strong,3,extreme,3,successful,4,,,insane,4,dark,3,difficult,2,healthy,4,bright,3,young,4,faithful,2,dark,2,healthy,4,lonely,4,violent,3,clear,5,beautiful,4,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87917
459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,1,clean,1,dangerous,2,comfortable,2,safe,2,successful,1,safe,2,lazy,2,dark,3,clever,1,healthy,1,bright,1,young,2,dumb,3,dark,5,healthy,2,insane,1,dying,2,,,beautiful,1,funny,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72504
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,1,clean,3,faithful,4,strong,5,safe,3,successful,3,safe,3,lazy,3,dark,3,difficult,1,lonely,3,bright,5,young,1,faithful,2,dark,5,healthy,5,lonely,5,sleepy,1,,,beautiful,5,fat,5,98866
355,empty,5,clean,1,faithful,4,strong,1,safe,5,successful,1,safe,5,faithful,5,,,weird,2,creepy,2,bright,3,young,3,funny,1,dark,1,healthy,1,lonely,1,violent,2,extreme,1,beautiful,2,funny,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77737
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,4,innocent,1,faithful,3,comfortable,3,evil,3,successful,4,safe,2,faithful,3,dark,5,clever,4,healthy,5,weird,2,,,dumb,4,dark,5,healthy,5,lonely,2,violent,4,healthy,2,beautiful,2,fat,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55466
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,1,talented,1,,,strong,1,safe,1,lonely,1,safe,1.5,lazy,1,dark,1,difficult,1,lonely,1,bright,1,young,1,faithful,1,dark,1,fancy,1,lonely,1,sleepy,1,clear,1,beautiful,1,funny,1,92528
637,adorable,2,talented,1,faithful,2,clear,1,safe,5,lonely,2,extreme,2,,,fat,4,difficult,3,lonely,1,weird,2,young,1,funny,1,nasty,2,fancy,3,weird,1,dying,1,clear,4,dead,4,sexy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70742
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,3,clean,3,dangerous,3,strong,3,safe,2,successful,3,safe,3,faithful,2,fat,2,clever,3,creepy,2,,,young,2,funny,5,creepy,2,healthy,2,lonely,4,sleepy,2,clear,3,beautiful,4,funny,4,60110
