Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID209,QID210,QID212,QID213,QID215,QID216,QID218,QID219,QID221,QID222,QID224,QID225,QID227,QID228,QID230,QID231,QID233,QID234,QID236,QID237,QID239,QID240,QID242,QID243,QID245,QID246,QID248,QID249,QID251,QID252,QID254,QID255,QID257,QID258,QID260,QID261,QID263,QID264,QID266,QID267,QID269,QID270,QID272,QID273,QID275,QID276,random
205,"hands,artist",3,,,"performance,gift",3,,,,,"heart,performance",3,"area,room",3,,,"performance,weight",3,,,"performance,family",3,"relationship,text",3,"text,road",4,"weight,family",3,"sky,night",3,"weight,business",3,,,,,,,"city,night",5,"hands,birthday",3,"hair,eyes",3,"death,child",4,"performance,security",3,,,"history,performance",3,,,"weight,room",3,"god,animal",3,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898711
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"death,history",5,"performance,hair",2,"country,road",4,"hands,legs",2,"heart,country",4,,,"birthday,room",2,"performance,weight",4,,,"performance,wedding",3,,,"text,apple",4,,,"sky,night",5,"weight,birthday",2,"friend,family",4,"relationship,security",4,,,"city,beer",4,"hands,birthday",1,,,,,,,"baby,friend",5,,,,,"holiday,weight",2.5,"birthday,animal",4,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497462
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",5,"performance,hair",3,,,,,"heart,country",3,,,"birthday,food",3,,,"road,business",5,"performance,wedding",5,,,"text,road",5,"business,family",5,"sky,night",5,"weight,business",2,"friend,family",4,,,,,"city,night",5,"country,birthday",2,,,"death,child",1,"performance,security",5,,,"history,performance",5,"evening,night",3,"weight,room",4,"birthday,animal",4,"night,eyes",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468850
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",5,,,"performance,gift",5,"country,chocolate",5,,,,,"area,room",5,"birthday,food",5,"wedding,performance",5,,,"family,wedding",5,,,,,"business,family",5,"sky,night",5,,,,,"relationship,birthday",5,"business,money",5,,,"hands,country",5,"hair,eyes",5,,,"performance,security",5,"baby,friend",5,"history,performance",5,"wedding,night",5,"holiday,room",5,"god,animal",5,"eyes,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3918594
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"death,history",5,"performance,hair",5,"country,chocolate",4,,,,,"area,room",5,"birthday,food",5,"wedding,performance",5,"road,business",3,,,"relationship,text",4,"text,road",4,,,"birthday,night",4,,,,,,,"beer,money",4,"city,night",,,,"hair,eyes",4,"death,child",5,"performance,birthday",4,,,,,"wedding,night",4,"weight,room",4,"birthday,animal",4,"night,eyes",5,1109954
327,,,,,"performance,gift",3,,,"hands,legs",4,"heart,performance",2,,,,,,,"road,business",1,"performance,family",3,"relationship,text",4,"text,road",4,,,"birthday,night",4,,,"friend,family",4,"relationship,birthday",2,"business,money",2,"city,night",4,"country,birthday",3,,,"death,child",4,"performance,birthday",1,"baby,friend",2,"history,performance",2,"evening,night",5,"weight,room",3,"god,animal",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493493
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"wedding,death",3,"gift,hair",2,"country,chocolate",2,"hands,legs",3,,,"room,legs",1,"room,food",3,"wedding,performance",2,,,,,"baby,relationship",2,"road,apple",1,"weight,business",2,,,"weight,business",3,"friend,family",2,"security,birthday",1,"beer,money",1,,,,,"hair,eyes",3,,,,,,,"history,performance",2,,,"holiday,weight",1,"god,animal",1,"night,beer",3,4688589
448,"heart,artist",3,"death,history",5,"performance,gift",5,"country,road",3,"hands,legs",5,"heart,country",4,,,,,"wedding,performance",2,"road,business",1,"performance,family",4,,,"text,road",4,"weight,family",2,,,"weight,birthday",5,"friend,family",5,"relationship,security",3,,,,,"hands,birthday",4,"hair,eyes",5,"death,child",3,,,,,,,,,"weight,room",2,"birthday,animal",3,"night,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4551845
390,"heart,hands",4,"death,history",2,,,"country,road",3,"hands,birthday",3,,,"area,room",3,"room,food",5,"performance,weight",3,,,,,"relationship,text",5,,,"weight,family",3,"birthday,sky",3,"weight,birthday",2,,,"relationship,security",5,"business,money",3,"city,night",5,,,"birthday,hair",2,"death,child",3,,,"baby,friend",4,"history,performance",5,,,"weight,room",4,,,"night,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143746
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,,,,,,,"hands,legs",4,,,"area,room",3,"room,food",2,"wedding,performance",3,"road,business",2,,,"baby,relationship",3,"text,road",2,"business,family",3,"sky,night",2,"weight,birthday",3,"friend,family",3,"relationship,security",3,"business,money",2,,,"hands,country",2,"hair,eyes",3,"beer,death",2,"performance,security",2,"baby,friend",2,,,,,,,,,"night,eyes",3,3744003
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",3,"death,history",4,,,,,"hands,legs",2,"heart,country",3,"area,room",3,"birthday,room",3,,,"road,business",4,"performance,wedding",3,"baby,relationship",4,,,"business,family",4,,,"weight,birthday",3,"friend,family",4,"relationship,security",4,"business,money",2,"city,night",3,"hands,birthday",3,"hair,eyes",4,,,"performance,security",4,"baby,friend",3,,,"evening,wedding",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131191
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",5,"performance,hair",2,"country,road",5,"hands,birthday",2,,,,,,,"performance,weight",5,"road,business",4,,,,,"text,road",2,"business,family",5,"sky,night",5,"business,birthday",3,"friend,family",4,,,"business,money",2,,,,,"hair,eyes",5,"death,child",3,"performance,security",4.5,,,"history,performance",4,"evening,wedding",2,"weight,room",1,"birthday,animal",3,"night,eyes",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810495
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"death,history",4,"performance,gift",3,"country,road",3.5,,,"heart,country",3,"room,legs",4,"birthday,food",4,,,"business,beer",3,"performance,family",3,"relationship,text",4,"text,apple",4,,,"birthday,night",4,"business,birthday",4,"phone,family",4,,,,,"city,beer",4,,,"birthday,hair",4,"death,child",4,,,"baby,friend",4,,,"evening,wedding",4,,,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370703
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",5,,,,,"hands,birthday",2,"heart,country",5,"area,legs",3,"birthday,room",1,"performance,weight",4,"road,business",3,,,"baby,relationship",5,"text,apple",2,"weight,business",3,,,,,"friend,family",5,"relationship,security",5,"business,money",3,"city,night",4,,,,,"death,child",5,"performance,security",5,"baby,friend",4,"history,performance",5,,,"weight,room",3,,,"night,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198426
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",2,,,"performance,hair",4,"country,chocolate",3,"hands,legs",4,"heart,country",4,,,"birthday,food",2,"wedding,performance",4,,,"performance,family",3,"baby,text",3,,,"weight,family",2,,,"weight,birthday",3,"phone,friend",2,"relationship,security",4,,,"beer,night",2,"hands,birthday",4,,,"beer,death",5,"performance,security",4,,,,,"evening,night",3,"holiday,room",3,"birthday,god",2,,,4036361
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,gift",2,"country,road",5,"hands,legs",1,,,,,,,"performance,weight",4,,,"performance,wedding",5,,,"text,road",2.5,"business,family",2,"sky,night",5,"weight,business",3,,,"relationship,security",5,"business,money",3,,,"hands,country",2,"hair,eyes",5,"beer,child",1,"performance,security",5,,,"history,performance",5,"evening,night",1,"weight,room",4,"birthday,animal",5,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4501566
571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"death,history",3,,,"country,road",4,,,"heart,performance",2,"area,room",3,"room,food",3,"wedding,performance",4,,,"performance,family",2,"baby,relationship",4,,,"weight,family",2,,,"weight,birthday",2,"friend,family",3,"security,birthday",3,,,"city,night",3,"hands,country",3,"hair,eyes",3,"beer,death",4,,,"baby,friend",4,,,"evening,night",3,"holiday,room",4,,,,,3252643
492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",4,"performance,hair",5,"country,road",4,"hands,legs",5,"heart,country",4,,,,,,,,,"performance,family",5,,,,,,,"birthday,night",4,"weight,business",5,"phone,friend",3,"relationship,birthday",3,,,"city,night",4,"hands,country",5,"hair,eyes",4,"beer,death",4,"performance,birthday",3,"baby,friend",5,"history,performance",4,"evening,night",4,"holiday,room",5,"birthday,god",2,,,2565502
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",3,"death,history",4,"performance,gift",1,"country,road",5,"hands,birthday",2,"country,performance",1,"area,room",4,,,"performance,weight",4,"road,business",4,"performance,family",2,"baby,relationship",5,"text,road",4,,,,,"weight,business",3,"friend,family",5,"relationship,security",4,,,,,,,"hair,eyes",5,"death,child",4,,,"baby,friend",4,"history,performance",5,"evening,night",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3526373
444,,,"wedding,death",1,"performance,gift",1,"country,road",1,,,,,"area,room",1,,,"wedding,performance",1,"road,business",1,,,,,,,"weight,family",1,"birthday,night",1,"weight,birthday",1,"friend,family",1,"relationship,security",1,"beer,money",1,"city,night",1,"hands,birthday",1,"hair,eyes",1,"death,child",1,"performance,birthday",1,,,"wedding,history",1,"evening,night",1,,,,,"night,beer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4624926
573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,"wedding,history",4,"performance,hair",5,"country,road",4,,,"heart,country",4,"area,room",5,,,,,"road,beer",3,"performance,family",2,"baby,text",4,,,"business,family",4,,,,,,,,,"business,money",5,"beer,night",4,"hands,country",5,,,"beer,death",5,,,"baby,friend",5,"history,performance",4,"evening,wedding",3,"holiday,room",5,"birthday,animal",5,"night,beer",4,4385256
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,,,"performance,hair",4,"country,road",4,"hands,legs",5,,,"area,room",5,"birthday,room",5,"wedding,performance",5,"road,business",2,"performance,family",4,"baby,relationship",4,"text,road",3,,,,,,,,,"relationship,birthday",3,"beer,money",4,"beer,night",4,"hands,country",5,"hair,eyes",2,"beer,death",5,"performance,birthday",4,"baby,friend",5,,,"evening,night",4,,,,,,,4738862
491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,death",2.5,"performance,hair",5,"country,road",4,"hands,legs",5,"heart,performance",3,"area,room",5,,,,,"business,beer",2,"performance,family",3,"baby,relationship",5,"text,road",2,,,"sky,night",5,,,,,,,"business,money",5,,,,,"hair,eyes",3,,,"performance,security",3,"baby,friend",4,"wedding,performance",4,"wedding,night",2.5,"holiday,room",5,"birthday,animal",3.5,"night,eyes",3,3520718
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"wedding,death",3,"gift,hair",3,"country,chocolate",4,"hands,legs",3,"country,performance",4,"room,legs",3,"room,food",3,"performance,weight",3,,,,,"baby,relationship",3,,,"weight,family",3,"sky,night",3,,,,,"relationship,birthday",3,"beer,money",3,"beer,night",3,"hands,country",3,"hair,eyes",3,,,"performance,security",3,,,"wedding,history",3,"evening,wedding",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4055206
323,,,"wedding,history",3,"performance,gift",5,"country,road",5,"hands,legs",3,"heart,performance",3,"area,room",1,"room,food",4,"wedding,performance",2,,,"performance,family",3,,,"text,road",5,"weight,family",3,"birthday,sky",2,,,,,"relationship,birthday",5,,,,,,,,,"death,child",3,"performance,birthday",1,"baby,friend",5,,,"evening,night",5,"holiday,weight",3,"birthday,animal",3,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725578
345,"heart,hands",3,"wedding,death",4,"performance,gift",1,"country,road",1,,,,,"area,room",1,"room,food",5,"wedding,performance",1,"business,beer",1,,,"relationship,text",5,"text,road",2,,,"birthday,night",4,"weight,birthday",2,"friend,family",3,,,,,"city,night",3,,,"hair,eyes",4,,,,,"baby,friend",2,"history,performance",2,,,"weight,room",4,"birthday,animal",1,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231806
457,,,,,"gift,hair",5,,,,,"heart,country",5,,,"room,food",4,,,"road,beer",2,"performance,family",5,"relationship,text",3,"text,road",3,"weight,family",4,"birthday,night",5,,,,,"relationship,security",2,"beer,money",3,"city,night",4,"country,birthday",5,"hair,eyes",3,"death,child",1,"performance,birthday",4,,,"history,performance",3,"evening,night",3,"weight,room",5,"birthday,animal",2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2905345
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,gift",4,,,"hands,legs",5,"country,performance",3,"area,room",4,,,"wedding,weight",5,"business,beer",5,"performance,wedding",4,,,"text,road",4,,,"birthday,sky",5,,,,,"relationship,security",4,"beer,money",5,,,"hands,country",5,"hair,eyes",3,,,"performance,security",5,"phone,friend",3,"wedding,history",5,"evening,night",4,"holiday,weight",4.5,"god,animal",5,"night,beer",3,3463382
475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,"wedding,history",4,,,"country,chocolate",2,,,"heart,country",5,"area,room",5,"birthday,food",4,"wedding,performance",4,,,"performance,family",4,"baby,relationship",4,,,"weight,family",4,"birthday,night",2,"weight,birthday",3,"friend,family",5,"relationship,birthday",3,,,"beer,night",2,"hands,country",5,,,"death,child",5,,,,,"wedding,performance",5,"evening,night",4,"holiday,room",5,,,,,2543331
