Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID209,QID210,QID212,QID213,QID215,QID216,QID218,QID219,QID221,QID222,QID224,QID225,QID227,QID228,QID230,QID231,QID233,QID234,QID236,QID237,QID239,QID240,QID242,QID243,QID245,QID246,QID248,QID249,QID251,QID252,QID254,QID255,QID257,QID258,QID260,QID261,QID263,QID264,QID266,QID267,QID269,QID270,QID272,QID273,QID275,QID276,random
524,"heart,artist",2,"wedding,death",4,"performance,gift",4,"country,road",1,"hands,birthday",2,"country,performance",3,,,,,,,"road,beer",3,,,"relationship,text",4,"text,road",1,,,"birthday,night",3,"weight,birthday",3,"friend,family",2,,,"beer,money",1,"city,night",2,"country,birthday",3,"birthday,hair",2,,,"performance,birthday",3,"baby,friend",4,"wedding,performance",2,,,,,,,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268156
340,,,"death,history",1,,,"country,road",2,"hands,legs",1,,,,,,,"wedding,performance",1,"road,business",1,"performance,wedding",1,"relationship,text",1,,,"weight,family",1,,,,,"friend,family",1,"relationship,birthday",1,"beer,money",1,"city,night",4,"hands,birthday",2,"hair,eyes",1,"death,child",1,,,,,"history,performance",1,"evening,night",3,"weight,room",1,"birthday,animal",1,"night,beer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170567
894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"death,history",5,"performance,gift",5,"country,road",5,,,,,,,,,"performance,weight",5,,,,,"baby,relationship",5,"text,apple",4,,,"sky,night",5,"business,birthday",2.5,,,"relationship,security",5,"business,money",5,"city,night",5,"hands,country",1,"hair,eyes",5,"death,child",5,"performance,security",5,,,,,"evening,night",5,"weight,room",3.5,"birthday,animal",5,"night,eyes",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075896
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"death,history",5,"gift,hair",4,"country,road",5,,,"heart,performance",2,,,,,,,"road,business",3,"performance,wedding",3,"baby,relationship",5,,,"business,family",3,"sky,night",5,,,"friend,family",4,"relationship,security",4,,,,,"hands,birthday",3,,,"death,child",3,"performance,security",4,"baby,friend",4,"history,performance",4,"evening,night",2,"weight,room",2,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469866
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",1,"performance,hair",1,"country,road",1,,,"heart,country",1,"area,room",1,,,,,"business,beer",1,"performance,family",1,"baby,relationship",1,"text,road",1,"business,family",1,,,,,,,"relationship,security",1,"business,beer",1,,,"hands,birthday",1,,,"beer,death",1,"performance,security",1,"baby,friend",1,"history,performance",1,"wedding,night",1,,,"birthday,god",1,"night,beer",1,1056657
254,"heart,hands",2,"death,history",4,"gift,hair",2,"country,road",5,"hands,legs",5,"heart,country",2,"area,room",3.5,"birthday,food",4,"wedding,performance",2,,,,,"baby,relationship",3,"text,road",2,"business,family",4,"sky,night",5,"weight,business",2,,,,,,,"beer,night",2,,,,,"beer,death",2,,,"phone,friend",3,,,,,"holiday,weight",1,"god,animal",1,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3121948
603,"heart,artist",3,,,,,,,,,"heart,country",1,"area,room",4,"birthday,food",2,"performance,weight",4,"road,business",3,"performance,family",2,,,,,"weight,business",4,,,"weight,birthday",2,"friend,family",4,"relationship,birthday",3,"business,beer",4,,,"hands,birthday",3,"hair,eyes",2,"death,child",4,"performance,security",4,"baby,friend",4,"history,performance",3,"evening,night",4,"holiday,weight",2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3198509
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"wedding,history",2,"performance,hair",3,,,"hands,legs",4,"heart,country",3,,,"birthday,food",4,"wedding,performance",3,"business,beer",3,,,"baby,relationship",1,"text,apple",3,,,"birthday,night",2,"weight,business",3,"phone,friend",2,,,"business,money",3,"beer,night",2,"hands,birthday",4,"birthday,eyes",3,,,,,"baby,friend",4,,,,,"holiday,room",4,,,"night,beer",4,1636611
862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",4,,,,,,,"hands,legs",3,"heart,country",4,"area,legs",3,"birthday,room",3,,,"road,business",4,"performance,wedding",4,"baby,relationship",3,"text,road",4,"business,family",4,,,"weight,birthday",2,"friend,family",4,,,,,"beer,night",3,"hands,country",4,,,"death,child",3,,,"baby,friend",4,"history,performance",3,,,"weight,room",2,"birthday,animal",4,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2786697
169,,,"death,history",5,"performance,gift",5,"country,road",5,"hands,legs",5,,,"area,room",5,,,,,"road,business",5,"performance,family",5,,,"text,road",5,,,"birthday,night",5,"weight,birthday",4.5,,,"relationship,security",5,"beer,money",4,"city,night",5,"country,birthday",5,,,,,"performance,security",5,"baby,friend",5,"history,performance",5,"evening,night",5,,,"birthday,animal",5,"eyes,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483230
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,"death,history",5,,,,,"hands,legs",2,"heart,country",4,"area,room",1,"birthday,food",2,"wedding,performance",3,"road,business",4,,,"baby,relationship",5,"text,road",3,"business,family",5,,,"weight,business",2,,,"relationship,security",5,"beer,money",3,,,,,,,"death,child",4,,,"baby,friend",5,"history,performance",4,,,"holiday,weight",3,"birthday,animal",5,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700958
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,,,,,"country,road",2,"hands,legs",4,"heart,country",3,"area,room",3,,,"performance,weight",3,,,"family,wedding",1,,,"text,road",3,,,,,"weight,business",2,,,"relationship,birthday",2,"business,beer",2,"beer,night",3,"hands,country",3,,,"beer,death",3,"performance,birthday",2,"baby,friend",3,"history,performance",3,,,"holiday,room",4,"birthday,animal",1,"night,beer",3,3433859
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",4,"gift,hair",2,"country,road",3,"hands,birthday",3,,,"area,room",2,,,,,"road,business",3,"performance,wedding",2,,,,,"business,family",2,"sky,night",3,,,"friend,family",4,"relationship,security",3,"business,money",2,"city,night",3.5,"hands,country",2,"hair,eyes",2,"death,child",2,"birthday,security",2,,,"history,performance",3,"evening,wedding",2.5,,,,,"night,eyes",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3444265
378,"heart,artist",5,,,"performance,hair",4,"country,road",3.5,,,"heart,performance",5,,,"birthday,room",4,"wedding,performance",3,,,"performance,family",3,"baby,relationship",3,,,,,,,"weight,birthday",3,"friend,family",5,"relationship,birthday",4,"business,money",3,"beer,night",2,"hands,country",3,"hair,eyes",5,"death,child",5,"performance,birthday",4,"baby,friend",4,,,,,,,"birthday,animal",4,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778969
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",5,,,"country,chocolate",5,,,,,,,"birthday,room",5,"wedding,performance",5,"business,beer",5,"family,wedding",5,,,"road,apple",5,"business,family",5,"sky,night",5,"weight,business",5,"phone,friend",5,"relationship,security",5,"beer,money",5,"city,night",5,,,"birthday,eyes",5,,,"birthday,security",5,,,"history,performance",5,"wedding,night",5,"holiday,weight",5,"god,animal",5,,,3035231
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,"death,history",4,,,"country,road",1,"hands,legs",5,"heart,country",2,"area,room",5,,,,,,,"performance,family",4,,,"text,road",3,,,,,"weight,birthday",4,"friend,family",5,"relationship,security",3,,,"beer,night",1,"hands,country",4,,,"beer,death",1,"performance,birthday",2,"baby,friend",5,"wedding,performance",3,"evening,night",3,"holiday,room",5,,,"night,beer",4,3779252
294,"heart,hands",4,"death,history",4,"performance,gift",4,,,"hands,legs",4,,,"area,room",3,,,,,,,,,"relationship,text",3,,,"weight,family",3,"birthday,night",3,"weight,birthday",3,"friend,family",4,"relationship,security",4,"beer,money",3,"city,night",5,,,"hair,eyes",3,"beer,child",3,"performance,birthday",5,,,"history,performance",4,"evening,night",5,"holiday,weight",3,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385225
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",4,"performance,gift",3,,,"hands,birthday",2,"heart,country",3,"area,room",2,"birthday,food",3,,,,,"performance,wedding",3,"baby,relationship",4,"text,apple",3,"business,family",4,"sky,night",5,"weight,business",3,"friend,family",4,"relationship,security",4.5,"business,money",3,,,"hands,birthday",2,"hair,eyes",4,,,,,,,"history,performance",4,,,"holiday,weight",2,"birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061168
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",4,"death,history",4,"performance,gift",4,"country,road",5,,,"country,performance",5,,,"birthday,food",5,"performance,weight",5,,,,,"baby,relationship",5,,,,,"sky,night",5,"weight,birthday",4,"friend,family",4,,,,,"city,night",4,"hands,birthday",4,,,"beer,death",3,"performance,security",3,"baby,friend",4,"history,performance",5,"evening,night",5,"weight,room",4,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874724
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,,,"performance,hair",3,,,,,"heart,country",4,,,"birthday,room",4,"wedding,performance",4,"business,beer",3,,,"baby,relationship",4,"road,apple",4,"weight,business",3,"sky,night",4,"weight,business",4,"friend,family",3,"security,birthday",3,,,,,,,"birthday,eyes",3,,,"performance,birthday",3,"baby,friend",4,"history,performance",4,"wedding,night",3,"holiday,room",4,,,"night,beer",4,1491661
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,,,,,"country,road",5,,,,,"area,room",2,"birthday,food",2,"performance,weight",4,"road,business",3,"performance,wedding",5,"baby,relationship",4,"text,apple",4,"business,family",4,,,,,,,,,"business,money",3,"city,night",4,,,"hair,eyes",5,"death,child",4,"performance,security",4,"baby,friend",4,,,"wedding,night",2,"holiday,room",4,"birthday,animal",4,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3824909
589,"heart,artist",2,"death,history",5,,,"country,chocolate",1,"hands,legs",1,"heart,country",1,"area,room",1,"room,food",5,"wedding,performance",1,"road,business",3,,,"relationship,text",2,"text,road",3,"business,family",2,"birthday,night",1,"weight,birthday",1,"friend,family",1,"relationship,security",1,,,"city,night",5,,,,,"beer,death",1,"performance,birthday",1,,,,,"evening,night",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660623
1021,"heart,hands",2,"death,history",2,,,,,"hands,legs",3,"heart,performance",2,"area,room",5,"birthday,food",1,,,"road,business",1,"performance,wedding",2,"baby,relationship",3,"text,road",3,"business,family",1,"birthday,sky",1,,,"friend,family",3,,,,,,,"hands,country",2,"hair,eyes",5,,,,,"baby,friend",3,"history,performance",3,"evening,night",5,"holiday,weight",2,,,"night,beer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3877902
720,"heart,artist",3,"wedding,history",3,"gift,hair",5,,,"birthday,legs",3,,,,,"room,food",4,"performance,weight",4,"road,beer",3,"performance,wedding",3,"relationship,text",4,"road,apple",3,,,"birthday,night",3,"weight,birthday",4,"friend,family",3,,,,,"city,night",5,"country,birthday",4,"birthday,hair",3,,,"birthday,security",4,,,,,"evening,night",4,"weight,room",4,,,"night,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386958
771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"wedding,death",4,"performance,hair",4,"country,road",3,"hands,legs",4,,,"area,room",3,"birthday,room",3.5,"wedding,performance",4,"road,business",3,"family,wedding",3,"baby,relationship",,,,"weight,family",3,"sky,night",4,,,,,,,"business,money",3,"city,beer",4,"hands,country",4,"hair,eyes",4,"beer,death",4,,,,,,,,,"holiday,weight",3,"god,animal",4,,,2130519
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"death,history",4,,,"country,road",3,,,"heart,performance",3,"area,room",3,"birthday,room",3,,,,,,,,,"text,road",3,,,,,,,"friend,family",3,"relationship,security",3,"business,beer",3,"city,beer",3,"hands,birthday",4,"birthday,hair",3,"beer,death",3,"performance,security",3,,,"history,performance",3,"evening,wedding",4,"holiday,room",3,"birthday,animal",1,"night,beer",3,4663276
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",3,"death,history",3,"performance,gift",3,"country,road",3,"hands,legs",4,,,"area,room",4,"room,food",3,"performance,weight",3,"road,business",4,"performance,wedding",4,,,"text,apple",3,,,"sky,night",4,"business,birthday",2,,,"relationship,security",4,"business,money",3,,,"hands,birthday",2,"hair,eyes",4,,,,,"baby,friend",4,"history,performance",4,,,,,,,"night,beer",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414695
525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",1,"death,history",5,,,"chocolate,road",1,"hands,legs",1,"heart,country",4,"area,room",1,,,"performance,weight",1.5,"road,business",3,"performance,wedding",2,,,,,,,"sky,night",5,"weight,business",1,"friend,family",2,"relationship,security",3.5,"business,money",4,"city,night",3,,,,,"death,child",1,"performance,security",1,,,"history,performance",1,"evening,wedding",1,,,,,"night,beer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047271
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",1,"performance,hair",4,,,"hands,legs",5,"heart,country",3,,,"birthday,food",3,"wedding,performance",2,"road,beer",3,"performance,family",1,"baby,relationship",3,"text,road",1,"weight,family",2,"birthday,night",2,"weight,business",5,,,"relationship,birthday",2,,,,,"hands,country",5,,,"beer,death",5,,,"baby,friend",5,"wedding,performance",1,"wedding,night",2,,,"god,animal",2,,,3447990
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"death,history",5,"performance,hair",4,"country,road",5,"hands,legs",5,"heart,country",4,,,,,"performance,weight",4,,,"performance,family",3,"baby,relationship",4,,,,,"sky,night",4,"weight,business",4,"friend,family",4,,,"business,beer",4,"city,night",4,,,"hair,eyes",4,,,"performance,security",4,"baby,friend",5,,,"evening,night",3,"weight,room",4,"birthday,god",3,,,4146454
535,"heart,artist",1.5,"wedding,history",5,,,"country,chocolate",1,,,,,"room,legs",2,,,"wedding,weight",4,,,"family,wedding",3,"relationship,text",4,"text,road",3,"weight,family",5,,,"weight,birthday",3,,,,,"business,money",4,"city,night",5,"country,birthday",4,"birthday,eyes",4,,,"performance,birthday",4,"phone,friend",3,"history,performance",4,,,"weight,room",2,"birthday,animal",4,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4124943
892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,hair",5,"chocolate,road",4,"hands,legs",5,,,"area,room",5,,,,,"road,business",4,,,"baby,relationship",5,"text,road",4,"weight,family",4,"birthday,sky",4,"weight,birthday",5,"friend,family",5,"relationship,security",4,"business,money",5,"beer,night",4,,,"hair,eyes",5,"beer,death",5,"performance,security",3,"baby,friend",5,"wedding,performance",5,,,,,,,"night,beer",4,3045938
381,,,,,"performance,hair",4,"country,road",2.5,"hands,legs",4,"heart,performance",4,"area,room",2,"room,food",3,"performance,weight",3,"business,beer",4,,,"relationship,text",4,,,,,"birthday,night",4,,,"friend,family",4,"relationship,security",4,"business,money",3,,,,,,,"beer,death",3,,,"baby,friend",4,"history,performance",4,"evening,night",4,"holiday,weight",4,"god,animal",3,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045042
458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",5,"gift,hair",3,,,,,,,"area,legs",1,,,"performance,weight",1,,,"performance,wedding",1,"baby,relationship",5,"text,road",1,"business,family",1,,,"weight,business",1,"friend,family",1,"relationship,security",4,"business,money",1,"city,night",2,,,"hair,eyes",3,,,"performance,security",1,"baby,friend",3,,,"wedding,night",1,"holiday,weight",1,"birthday,animal",1,"night,beer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195329
150,"heart,hands",3,"wedding,death",3,"performance,gift",3,"country,chocolate",3,"hands,birthday",3,"heart,country",3,"area,room",3,"birthday,room",3,,,"business,beer",3,,,"baby,relationship",3,"text,road",3,"weight,business",3,,,,,,,"relationship,security",3,"business,beer",3,,,"hands,country",3,"birthday,hair",3,,,,,,,"wedding,history",3,,,"holiday,weight",3,"birthday,god",3,"night,eyes",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4164191
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,"wedding,death",5,"gift,hair",5,"country,road",5,"hands,legs",5,"heart,country",5,"area,legs",5,"room,food",5,,,,,,,"relationship,text",5,"road,apple",5,"weight,family",5,"sky,night",5,,,,,,,"beer,money",5,,,"hands,birthday",5,,,"beer,death",5,"performance,security",5,"baby,friend",5,,,,,"holiday,room",5,"god,animal",5,"eyes,beer",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531659
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"country,road",3,"hands,legs",4,"heart,country",3,"area,room",5,"room,food",1,"wedding,performance",4,"road,business",1,"performance,family",4,"baby,relationship",4,,,"weight,family",3,,,,,"friend,family",4,"relationship,security",4,"business,beer",2,,,"hands,country",5,,,"beer,death",3,,,"baby,friend",4,"wedding,performance",4,"wedding,night",3,"holiday,room",4,,,"night,beer",1,3447237
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,"death,history",5,,,"country,road",5,,,"heart,country",4,,,"birthday,room",3,"wedding,performance",5,"road,business",4,"performance,wedding",5,,,,,"business,family",5,,,"weight,business",5,"friend,family",5,"relationship,security",5,,,"beer,night",3,"hands,country",3,"hair,eyes",5,"beer,child",4,"performance,security",5,,,"history,performance",4,"wedding,night",3,,,,,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4193644
392,"heart,artist",4,,,"performance,gift",5,"country,road",3,"hands,legs",4,"heart,performance",4,"area,room",4,"room,food",5,"performance,weight",3,,,"performance,family",4,,,,,"business,family",4,"birthday,night",5,"weight,business",4,"friend,family",5,,,,,"city,night",5,"hands,birthday",4,,,"death,child",5,"performance,birthday",5,"baby,friend",5,,,"evening,night",5,,,"god,animal",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184551
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"wedding,death",2,"performance,hair",2,,,"hands,legs",4,"heart,performance",2,"area,room",2,"birthday,food",1,,,,,,,"baby,relationship",4,"text,apple",2,"business,family",2,"sky,night",3,"weight,birthday",1,,,,,"business,beer",1,"city,beer",2,"hands,country",2,,,,,"performance,security",1,,,"wedding,history",2,"wedding,night",1.5,,,"birthday,god",1.5,"night,beer",3,3256670
575,"heart,artist",2,"wedding,death",2,,,"country,road",1.5,,,"country,performance",2,,,,,,,"road,business",1,"family,wedding",2,,,"road,apple",2,,,"birthday,night",2,"weight,business",2,,,"relationship,birthday",1,"business,money",3,"city,night",4,"country,birthday",2,"hair,eyes",2,,,"performance,birthday",2,"baby,friend",1,"history,performance",3,"evening,night",4,"weight,room",3,,,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343263
