Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,random
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,5,,,clean,1,christian,1,successful,2,extreme,2,cold,4,strong,5,,,lazy,3,excited,1,evil,3,dark,5,healthy,4,bright,1,,,dark,4,,,,,funny,4,loud,5,healthy,2,,,lonely,3,,,young,4,,,dead,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638766
532,tired,2,excited,5,innocent,2,,,,,weird,2,,,proud,2,difficult,4,,,,,healthy,5,,,creepy,3,bright,2,busy,2,,,healthy,5,strong,4,funny,1,rough,4,smooth,1,deadly,5,weird,2,busy,4,,,,,dead,3,extreme,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970782
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,3,confused,3,talented,3,,,lonely,3,weird,3,,,wicked,3,,,,,weak,3,healthy,3,,,lonely,3,,,busy,3,loud,3,,,strong,3,funny,3,rough,3,smooth,3,deadly,3,weird,3,strong,3,,,,,dead,3,extreme,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682915
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,1,smooth,5,clean,3,broken,2,,,safe,1,,,wicked,1,divine,1,insane,2,excited,3,,,dark,2,creepy,3,bright,3,shy,1,dark,3,,,,,sexy,3,loud,4,,,holy,1,lonely,4,,,,,busy,2,,,dangerous,3,888720
398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,3,innocent,1,christian,4,successful,3,,,cold,5,,,faithful,2,,,,,evil,4,dark,5,healthy,3,weird,2,busy,5,,,lazy,3,strong,2,,,loud,4,,,christian,4.5,weird,2,busy,4,young,5,dead,4,,,expensive,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710217
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,3,,,clean,4,,,successful,4,,,crazy,2,proud,3,difficult,2,insane,3,excited,4,healthy,3,,,,,bright,3,shy,3,,,healthy,4,strong,4,holy,4,rough,3,healthy,4,,,,,strong,3,stunning,4,busy,2,beautiful,3,,,645102
507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken,2,successful,4,weird,1,clever,3,proud,2,,,insane,5,,,evil,2,fat,4,lonely,2,,,,,loud,4,lazy,1,ugly,3,holy,5,loud,2,fancy,2,deadly,3,lonely,5,strong,4,proud,3,,,,,expensive,4,733788
910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,4,excited,5,,,christian,4,successful,4,weird,4,cold,4,,,difficult,3,,,excited,5,,,dark,3,healthy,5,bright,4,,,loud,3,healthy,5,,,sexy,5,loud,4,smooth,5,,4,weird,4,,,proud,3,,,dead,4,,,765334
667,violent,3,,,talented,2,,,lonely,3,,,clever,3,strong,3,difficult,3,faithful,3,excited,3,healthy,3,dark,2,healthy,2,,,busy,3,loud,2,wicked,2,,,sexy,3,,,,,deadly,3,insane,2,busy,3,,,dead,3,,,extreme,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694724
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,5,clean,5,,,successful,5,safe,5,cold,5,strong,5,divine,5,lazy,5,,,healthy,5,dark,5,,,,,,,dark,5,lazy,5,,,funny,5,loud,5,,,deadly,5,weird,5,,,young,5,busy,5,beautiful,5,expensive,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716451
